"Sample","Block","ISP","trait","family","PhotoshopNames","animal","TreeOrder","Sample_Full"
"JW_31330_O_BHY_1",1,1,"ST_Bin","threshold","S. aureus (JW31330OBHY1)","JW31330OBHY1",38,"JW31330OBHY1"
"JW_31330_L_BHY_2",1,1,"ST_Bin","threshold","S. aureus (JW31330LBHY2)","JW31330LBHY2",37,"JW31330LBHY2"
"JW_30866_O BHY_3",1,1,"ST_Bin","threshold","S. aureus (JW30866OBHY3)","JW30866OBHY3",35,"JW30866OBHY3"
"JW 32660_O5",1,1,"ST_Bin","threshold","S. aureus (JW32660O5)","JW32660O5",36,"JW32660O5"
"B_142_S1",1,1,"ST_Bin","threshold","S. aureus (B142S1)","B142S1",47,"B142S1"
"B_128_S3",1,1,"ST_Bin","threshold","S. aureus (B128S3)","B128S3",46,"B128S3"
"AR_05_S1",1,0,"ST_Bin","threshold","S. aureus (AR05S1)","AR05S1",30,"AR05S1"
"AR_039_18_O1",1,0,"ST_Bin","threshold","S. aureus (AR03918O1)","AR03918O1",32,"AR03918O1"
"SAR_10_18_S1",1,1,"ST_Bin","threshold","S. aureus (SAR1018S1)","SAR1018S1",54,"SAR1018S1"
"SAR_12_18_N_1",1,0,"ST_Bin","threshold","S. aureus (SAR1218N1)","SAR1218N1",33,"SAR1218N1"
"SAR_14_18_N1",1,1,"ST_Bin","threshold","S. aureus (SAR1418N1)","SAR1418N1",29,"SAR1418N1"
"DAR_09_18_1_3",1,0,"ST_Bin","threshold","S. aureus (DAR091813)","DAR091813",31,"DAR091813"
"DAR_06_18_1_LC1",1,1,"ST_Bin","threshold","S. aureus (DAR06181LC1)","DAR06181LC1",28,"DAR06181LC1"
"2_7_1_Y",1,1,"ST_Bin","threshold","S. kloosii","271Y",6,"271Y"
"27_4_20_LC",1,0,"ST_Bin","threshold","S. simiae","27420LC",17,"27420LC"
"21_11_F7_LW",1,1,"ST_Bin","threshold","S. sciuri","2111F7LW",1,"2111F7LW"
"27_4_5_SW",1,1,"ST_Bin","threshold","S. napaliensis","2745SW",7,"2745SW"
"USFL008",1,0,"ST_Bin","threshold","S. aureus (USFL008)","USFL008",64,"USFL008"
"USFL009",1,0,"ST_Bin","threshold","S. aureus (USFL009)","USFL009",60,"USFL009"
"USFL012",1,0,"ST_Bin","threshold","S. aureus (USFL012)","USFL012",58,"USFL012"
"USFL016",1,0,"ST_Bin","threshold","S. aureus (USFL016)","USFL016",63,"USFL016"
"USFL018",1,0,"ST_Bin","threshold","S. aureus (USFL018)","USFL018",62,"USFL018"
"USFL020",1,0,"ST_Bin","threshold","S. aureus (USFL020)","USFL020",59,"USFL020"
"EOE 3",1,1,"ST_Bin","threshold","S. aureus (EOE003)","EOE003",22,"EOE003"
"EOE 30",1,1,"ST_Bin","threshold","S. aureus (EOE030)","EOE030",23,"EOE030"
"EOE 35",1,1,"ST_Bin","threshold","S. aureus (EOE035)","EOE035",24,"EOE035"
"EOE 41",1,1,"ST_Bin","threshold","S. aureus (EOE041)","EOE041",19,"EOE041"
"EOE 42",1,1,"ST_Bin","threshold","S. aureus (EOE042)","EOE042",20,"EOE042"
"ASARM 61",1,1,"ST_Bin","threshold","S. aureus (ASARM61)","ASARM61",42,"ASARM61"
"ASARM 70",1,1,"ST_Bin","threshold","S. aureus (ASARM70)","ASARM70",40,"ASARM70"
"ASARM 72",1,1,"ST_Bin","threshold","S. aureus (ASARM72)","ASARM72",44,"ASARM72"
"ASARM 73",1,1,"ST_Bin","threshold","S. aureus (ASARM73)","ASARM73",39,"ASARM73"
"ASARM 74",1,1,"ST_Bin","threshold","S. aureus (ASARM74)","ASARM74",41,"ASARM74"
"Sa_TPS 3026 (JKD6159)",1,0,"ST_Bin","threshold","S. aureus (SaTPS3026)","SaTPS3026",26,"SaTPS3026"
"Sa_TPS 3043",1,0,"ST_Bin","threshold","S. aureus (SaTPS3043)","SaTPS3043",18,"SaTPS3043"
"Sa_TPS 3072",1,0,"ST_Bin","threshold","S. aureus (SaTPS3072)","SaTPS3072",45,"SaTPS3072"
"Sa_TPS 3097",1,0,"ST_Bin","threshold","S. aureus (SaTPS3097)","SaTPS3097",61,"SaTPS3097"
"Sa_TPS 3104",1,0,"ST_Bin","threshold","S. aureus (SaTPS3104)","SaTPS3104",25,"SaTPS3104"
"Sa_TPS 3105",1,0,"ST_Bin","threshold","S. aureus (SaTPS3105)","SaTPS3105",27,"SaTPS3105"
"MU1",1,1,"ST_Bin","threshold","S. aureus (MU1)","MU1",53,"MU1"
"MU2",1,1,"ST_Bin","threshold","S. aureus (MU2)","MU2",51,"MU2"
"DEU1",1,1,"ST_Bin","threshold","S. aureus (DEU1)","DEU1",52,"DEU1"
"DEU2",1,1,"ST_Bin","threshold","S. aureus (DEU2)","DEU2",50,"DEU2"
"HU25",1,1,"ST_Bin","threshold","S. aureus (HU25)","HU25",49,"HU25"
"P32",1,1,"ST_Bin","threshold","S. aureus (P32)","P32",48,"P32"
"13_S44_S9",1,1,"ST_Bin","threshold","S. aureus (13S44S9)*","13S44S9EO",56,"13S44S9EO"
"S. epidermidis",1,1,"ST_Bin","threshold","S. epidermidis","NCTC11047",16,"NCTC11047"
"S. hominis spp hominis",1,1,"ST_Bin","threshold","S. hominis","NCTC11320",14,"NCTC11320"
